Pair Type,S1 ID,Target ID,Country Match,Name Exact,Name Case Insensitive Exact,Name Token Jaccard,Addr Exact,Addr Token Jaccard
S1-S2,S1-777210964,S2-12029274,True,False,False,0.5,False,0.6667
S1-S2,S1-777210964,S2-407524980,True,False,True,1.0,False,0.5
S1-S3,S1-777210964,S3-970714334,True,False,False,1.0,False,0.4286
S1-S3,S1-777210964,S3-712922821,True,False,False,0.6667,False,0.4286
S1-S2,S1-190133982,S2-523219173,True,False,False,0.6667,False,0.9412
S1-S3,S1-190133982,S3-716445195,True,False,False,0.5,False,0.8824
S1-S3,S1-190133982,S3-986804760,True,False,False,0.5,False,0.8824
S1-S2,S1-970131671,S2-670035601,True,False,True,1.0,False,0.8
S1-S3,S1-970131671,S3-392756625,True,False,True,1.0,False,0.6667
S1-S2,S1-391999301,S2-742819060,True,False,False,0.0,False,0.6842
S1-S2,S1-391999301,S2-339356009,True,False,False,0.6,False,0.2632
S1-S3,S1-391999301,S3-938838849,True,False,False,0.0,False,0.7778
S1-S3,S1-391999301,S3-99519749,True,False,False,0.6,False,0.7778
S1-S2,S1-435988542,S2-500704398,True,False,False,1.0,False,0.7143
S1-S2,S1-351020560,S2-907008976,True,False,False,0.6667,False,0.5556
S1-S3,S1-351020560,S3-943702663,True,False,False,0.5,False,0.7143
S1-S3,S1-351020560,S3-503506440,True,False,False,0.6667,False,0.7143
S1-S2,S1-353020204,S2-403125820,True,False,False,1.0,False,1.0
S1-S2,S1-353020204,S2-482586584,True,False,False,0.5,False,0.625
S1-S3,S1-353020204,S3-740655592,True,False,False,0.6,False,0.4
S1-S3,S1-353020204,S3-701336150,True,False,True,1.0,False,0.0
S1-S2,S1-374388852,S2-509116615,True,False,False,1.0,False,1.0
S1-S3,S1-374388852,S3-913638566,True,False,False,0.5,False,0.6875
S1-S2,S1-793615008,S2-102911781,True,False,False,0.6,False,0.8182
S1-S2,S1-793615008,S2-942337168,True,False,False,0.3333,False,0.4667
S1-S3,S1-793615008,S3-276503007,True,False,False,0.75,False,0.3571
S1-S3,S1-793615008,S3-154593156,True,False,False,0.6,False,0.5
S1-S2,S1-339384180,S2-763394237,True,False,False,0.6,False,0.6154
S1-S3,S1-339384180,S3-162797226,True,False,False,1.0,False,0.2
S1-S3,S1-339384180,S3-914554628,True,False,False,1.0,False,0.8
S1-S2,S1-83174673,S2-348030512,True,False,False,1.0,False,1.0
S1-S3,S1-83174673,S3-755114994,True,False,False,0.0,False,0.6923
S1-S3,S1-83174673,S3-444196916,True,False,False,0.75,False,0.8333
S1-S2,S1-350092923,S2-358229894,True,False,False,0.0,False,0.875
S1-S2,S1-350092923,S2-910624268,True,False,False,0.0,False,0.875
S1-S3,S1-350092923,S3-662458828,True,False,False,0.5,False,0.7778
S1-S3,S1-665522603,S3-813562861,True,False,False,0.0,False,0.6667
S1-S2,S1-200723243,S2-952851011,True,False,False,0.3333,False,0.8333
S1-S2,S1-200723243,S2-788224506,True,False,False,0.6,False,0.4375
S1-S3,S1-200723243,S3-153417633,True,False,False,0.5,False,0.5625
S1-S3,S1-200723243,S3-234128350,True,False,False,0.6,False,0.2941
S1-S2,S1-46329934,S2-704697535,True,False,False,1.0,False,0.9286
S1-S2,S1-46329934,S2-604099225,True,False,False,0.25,False,0.6
S1-S3,S1-46329934,S3-688076126,True,False,False,1.0,False,0.7059
S1-S3,S1-46329934,S3-175132143,True,False,False,0.5,False,0.8
S1-S2,S1-957340511,S2-363608755,True,False,False,1.0,False,0.5
S1-S2,S1-957340511,S2-326291497,True,True,True,1.0,False,0.5
S1-S3,S1-957340511,S3-603047654,True,False,True,1.0,False,0.625
S1-S3,S1-957340511,S3-917953818,True,False,False,0.5,False,0.625
S1-S2,S1-661807190,S2-7657580,True,False,False,0.75,False,1.0
S1-S2,S1-661807190,S2-372634346,True,False,False,0.75,False,0.6667
S1-S3,S1-661807190,S3-106044387,True,False,True,1.0,False,0.6667
S1-S3,S1-661807190,S3-306328111,True,False,False,0.75,False,0.2857
S1-S2,S1-670305710,S2-892615832,True,False,True,1.0,False,0.1818
S1-S3,S1-670305710,S3-524974871,True,False,False,0.8333,False,0.375
S1-S2,S1-691615940,S2-748691171,True,False,False,0.3333,False,0.5556
S1-S3,S1-691615940,S3-397491565,True,False,False,0.3333,False,0.3333
S1-S3,S1-691615940,S3-955477709,True,False,False,0.5,False,0.6364
S1-S2,S1-116292005,S2-190403429,True,False,False,1.0,False,0.75
S1-S2,S1-116292005,S2-352866222,True,False,False,0.0,False,0.5556
